OBJECTID,latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
92,52.094799999999999,-122.073400000000007,315.199999999999989,1.100000000000000,1.000000000000000,2019-03-29 0:00:00,546,Terra,MODIS,91,6.030000000000000,273.399999999999977,20.600000000000001,N,0
93,50.334099999999999,-120.533000000000001,301.800000000000011,1.000000000000000,1.000000000000000,2019-03-29 0:00:00,546,Terra,MODIS,45,6.030000000000000,269.699999999999989,10.400000000000000,N,0
94,50.268099999999997,-121.601900000000001,310.399999999999977,1.000000000000000,1.000000000000000,2019-03-29 0:00:00,1918,Terra,MODIS,63,6.030000000000000,286.500000000000000,11.000000000000000,D,0
95,53.372700000000002,-124.135900000000007,311.899999999999977,1.100000000000000,1.100000000000000,2019-03-29 0:00:00,1918,Terra,MODIS,72,6.030000000000000,278.000000000000000,16.800000000000001,D,0
96,52.498199999999997,-121.806200000000004,302.899999999999977,1.000000000000000,1.000000000000000,2019-03-29 0:00:00,2104,Aqua,MODIS,54,6.030000000000000,281.500000000000000,8.600000000000000,D,0
97,53.373800000000003,-124.132400000000004,308.600000000000023,1.000000000000000,1.000000000000000,2019-03-29 0:00:00,2105,Aqua,MODIS,63,6.030000000000000,277.899999999999977,11.400000000000000,D,0
98,53.371499999999997,-124.147099999999995,305.100000000000023,1.000000000000000,1.000000000000000,2019-03-29 0:00:00,2105,Aqua,MODIS,61,6.030000000000000,277.800000000000011,9.600000000000000,D,0
99,52.947800000000001,-123.752099999999999,303.699999999999989,1.600000000000000,1.300000000000000,2019-03-30 0:00:00,2000,Terra,MODIS,54,6.030000000000000,281.000000000000000,16.600000000000001,D,0
100,50.771299999999997,-119.741799999999998,300.800000000000011,3.200000000000000,1.700000000000000,2019-03-30 0:00:00,2147,Aqua,MODIS,29,6.030000000000000,288.399999999999977,25.699999999999999,D,0
101,57.314100000000003,-120.468599999999995,303.399999999999977,1.300000000000000,1.100000000000000,2019-04-01 0:00:00,1947,Terra,MODIS,56,6.030000000000000,276.600000000000023,13.199999999999999,D,0
102,54.513100000000001,-126.820899999999995,338.199999999999989,1.000000000000000,1.000000000000000,2019-04-01 0:00:00,1948,Terra,MODIS,91,6.030000000000000,282.600000000000023,44.399999999999999,D,0
103,54.515500000000003,-126.835899999999995,333.600000000000023,1.000000000000000,1.000000000000000,2019-04-01 0:00:00,1948,Terra,MODIS,89,6.030000000000000,281.100000000000023,37.200000000000003,D,0
104,54.018400000000000,-128.696300000000008,311.600000000000023,1.100000000000000,1.000000000000000,2019-04-01 0:00:00,2136,Aqua,MODIS,62,6.030000000000000,292.800000000000011,12.300000000000001,D,0
105,54.020400000000002,-128.680100000000010,304.100000000000023,1.100000000000000,1.000000000000000,2019-04-01 0:00:00,2136,Aqua,MODIS,35,6.030000000000000,291.800000000000011,6.400000000000000,D,0
106,54.514600000000002,-126.815700000000007,302.399999999999977,1.200000000000000,1.100000000000000,2019-04-01 0:00:00,2136,Aqua,MODIS,52,6.030000000000000,283.800000000000011,9.000000000000000,D,0
107,54.512700000000002,-126.833799999999997,343.699999999999989,1.200000000000000,1.100000000000000,2019-04-01 0:00:00,2136,Aqua,MODIS,93,6.030000000000000,286.399999999999977,70.099999999999994,D,0
108,50.063800000000001,-119.423000000000002,303.399999999999977,1.100000000000000,1.100000000000000,2019-04-02 0:00:00,1854,Terra,MODIS,0,6.030000000000000,291.600000000000023,5.100000000000000,D,0
109,49.265000000000001,-121.812399999999997,302.600000000000023,1.400000000000000,1.200000000000000,2019-04-02 0:00:00,1854,Terra,MODIS,37,6.030000000000000,289.500000000000000,7.900000000000000,D,0
110,49.259000000000000,-121.820899999999995,303.500000000000000,1.400000000000000,1.200000000000000,2019-04-02 0:00:00,1854,Terra,MODIS,46,6.030000000000000,289.399999999999977,7.600000000000000,D,0
111,55.281799999999997,-123.799599999999998,308.300000000000011,2.900000000000000,1.600000000000000,2019-04-02 0:00:00,2030,Terra,MODIS,67,6.030000000000000,279.800000000000011,55.899999999999999,D,0
112,55.295099999999998,-123.833200000000005,304.100000000000023,2.800000000000000,1.600000000000000,2019-04-02 0:00:00,2030,Terra,MODIS,52,6.030000000000000,279.899999999999977,39.500000000000000,D,0
113,55.283999999999999,-123.794300000000007,305.899999999999977,2.900000000000000,1.600000000000000,2019-04-02 0:00:00,2030,Terra,MODIS,62,6.030000000000000,279.300000000000011,45.000000000000000,D,0
114,49.020499999999998,-119.710499999999996,310.699999999999989,1.200000000000000,1.100000000000000,2019-04-02 0:00:00,2039,Aqua,MODIS,46,6.030000000000000,297.899999999999977,8.600000000000000,D,0
115,49.185000000000002,-120.008700000000005,307.199999999999989,1.200000000000000,1.100000000000000,2019-04-02 0:00:00,2039,Aqua,MODIS,23,6.030000000000000,288.500000000000000,10.600000000000000,D,0
116,49.182400000000001,-120.022400000000005,316.500000000000000,1.200000000000000,1.100000000000000,2019-04-02 0:00:00,2039,Aqua,MODIS,69,6.030000000000000,286.000000000000000,20.399999999999999,D,0
117,49.194800000000001,-120.012200000000007,312.100000000000023,1.200000000000000,1.100000000000000,2019-04-02 0:00:00,2039,Aqua,MODIS,37,6.030000000000000,290.000000000000000,15.100000000000000,D,0
118,50.649600000000000,-122.430400000000006,300.600000000000023,1.400000000000000,1.200000000000000,2019-04-02 0:00:00,2040,Aqua,MODIS,29,6.030000000000000,276.899999999999977,12.600000000000000,D,0
119,52.494599999999998,-121.797899999999998,306.300000000000011,1.200000000000000,1.100000000000000,2019-04-02 0:00:00,2040,Aqua,MODIS,63,6.030000000000000,284.000000000000000,13.300000000000001,D,0
